"Population by Five Years Age Group","Number"
"0-4",""
"Female","42634"
"Male","44212"
"10-14",""
"Female","50892"
"Male","54319"
"15-19",""
"Female","34840"
"Male","39548"
"20-24",""
"Female","30235"
"Male","27344"
"25-29",""
"Female","29676"
"Male","26394"
"30-34",""
"Female","27416"
"Male","23972"
"35-39",""
"Female","24052"
"Male","24411"
"40-44",""
"Female","19540"
"Male","21004"
"45-49",""
"Female","15865"
"Male","17314"
"50-54",""
"Female","12253"
"Male","14266"
"55-59",""
"Female","10872"
"Male","11434"
"5-9",""
"Female","53416"
"Male","55764"
"60-64",""
"Female","10463"
"Male","10980"
"65-69",""
"Female","7781"
"Male","8171"
"70-74",""
"Female","5314"
"Male","5915"
"75+",""
"Female","4724"
"Male","4708"
