"Industries Types","Number"
"Accommodation and food","1383"
"Administrative and support service activity","71"
"Agriculture, forestry and fishing","231"
"Art, entertainment and recreation","13"
"Construction","4"
"Education","604"
"Electricty gas and water","1"
"Financial intermediation and insurance","188"
"Health and social work","173"
"Information and communications","20"
"Manufacturing","1739"
"Mining and quarrying","2"
"Other service activities","959"
"Professional,scientific and techniqual activity","83"
"Real state, renting and business activities","0"
"Transport and storage","27"
"Water supply, wet management","11"
"Wholesale and retail trade","9751"
"Total","15260"
