"Population by Single Year of Age","Number"
"0",""
"Female","242"
"Male","271"
"1",""
"Female","157"
"Male","200"
"10",""
"Female","441"
"Male","463"
"11",""
"Female","203"
"Male","212"
"12",""
"Female","381"
"Male","415"
"13",""
"Female","209"
"Male","267"
"14",""
"Female","247"
"Male","248"
"15",""
"Female","252"
"Male","280"
"16",""
"Female","258"
"Male","250"
"17",""
"Female","168"
"Male","185"
"18",""
"Female","267"
"Male","256"
"19",""
"Female","116"
"Male","124"
"2",""
"Female","328"
"Male","303"
"20",""
"Female","323"
"Male","262"
"21",""
"Female","73"
"Male","78"
"22",""
"Female","254"
"Male","162"
"23",""
"Female","135"
"Male","65"
"24",""
"Female","150"
"Male","74"
"25",""
"Female","449"
"Male","272"
"26",""
"Female","134"
"Male","97"
"27",""
"Female","90"
"Male","60"
"28",""
"Female","251"
"Male","117"
"29",""
"Female","46"
"Male","36"
"3",""
"Female","361"
"Male","334"
"30",""
"Female","458"
"Male","288"
"31",""
"Female","25"
"Male","26"
"32",""
"Female","188"
"Male","107"
"33",""
"Female","66"
"Male","40"
"34",""
"Female","68"
"Male","36"
"35",""
"Female","443"
"Male","342"
"36",""
"Female","81"
"Male","59"
"37",""
"Female","46"
"Male","40"
"38",""
"Female","151"
"Male","64"
"39",""
"Female","37"
"Male","25"
"4",""
"Female","307"
"Male","350"
"40",""
"Female","407"
"Male","302"
"41",""
"Female","21"
"Male","26"
"42",""
"Female","115"
"Male","93"
"43",""
"Female","47"
"Male","32"
"44",""
"Female","36"
"Male","27"
"45",""
"Female","368"
"Male","309"
"46",""
"Female","43"
"Male","39"
"47",""
"Female","16"
"Male","35"
"48",""
"Female","90"
"Male","81"
"49",""
"Female","18"
"Male","17"
"5",""
"Female","380"
"Male","422"
"50",""
"Female","255"
"Male","314"
"51",""
"Female","7"
"Male","13"
"52",""
"Female","53"
"Male","59"
"53",""
"Female","41"
"Male","14"
"54",""
"Female","17"
"Male","11"
"55",""
"Female","240"
"Male","245"
"56",""
"Female","37"
"Male","39"
"57",""
"Female","14"
"Male","30"
"58",""
"Female","68"
"Male","70"
"59",""
"Female","24"
"Male","18"
"6",""
"Female","336"
"Male","360"
"60",""
"Female","254"
"Male","251"
"61",""
"Female","22"
"Male","20"
"62",""
"Female","62"
"Male","42"
"63",""
"Female","29"
"Male","23"
"64",""
"Female","22"
"Male","11"
"65",""
"Female","201"
"Male","172"
"66",""
"Female","12"
"Male","17"
"67",""
"Female","8"
"Male","12"
"68",""
"Female","35"
"Male","51"
"69",""
"Female","7"
"Male","15"
"7",""
"Female","334"
"Male","360"
"70",""
"Female","107"
"Male","146"
"71",""
"Female","4"
"Male","9"
"72",""
"Female","20"
"Male","22"
"73",""
"Female","8"
"Male","5"
"74",""
"Female","4"
"Male","8"
"75",""
"Female","63"
"Male","72"
"76",""
"Female","3"
"Male","6"
"77",""
"Female","2"
"Male","2"
"78",""
"Female","11"
"Male","5"
"79",""
"Female","4"
"Male","1"
"8",""
"Female","410"
"Male","418"
"80",""
"Female","35"
"Male","40"
"81",""
"Female","4"
"Male","2"
"82",""
"Female","3"
"Male","2"
"83",""
"Female","0"
"Male","5"
"84",""
"Female","1"
"Male","0"
"85",""
"Female","25"
"Male","27"
"9",""
"Female","244"
"Male","232"
