"Population by Five Years Age Group","Number"
"0-4",""
"Female","1406"
"Male","1466"
"10-14",""
"Female","1654"
"Male","1753"
"15-19",""
"Female","961"
"Male","1186"
"20-24",""
"Female","1027"
"Male","820"
"25-29",""
"Female","1032"
"Male","842"
"30-34",""
"Female","912"
"Male","682"
"35-39",""
"Female","734"
"Male","671"
"40-44",""
"Female","668"
"Male","574"
"45-49",""
"Female","584"
"Male","563"
"50-54",""
"Female","478"
"Male","529"
"55-59",""
"Female","436"
"Male","460"
"5-9",""
"Female","1888"
"Male","1920"
"60-64",""
"Female","358"
"Male","406"
"65-69",""
"Female","282"
"Male","272"
"70-74",""
"Female","199"
"Male","215"
"75+",""
"Female","132"
"Male","203"
