"Population by Five Years Age Group","Number"
"0-4",""
"Female","1083"
"Male","1174"
"10-14",""
"Female","1380"
"Male","1360"
"15-19",""
"Female","919"
"Male","987"
"20-24",""
"Female","824"
"Male","659"
"25-29",""
"Female","799"
"Male","686"
"30-34",""
"Female","809"
"Male","616"
"35-39",""
"Female","617"
"Male","644"
"40-44",""
"Female","605"
"Male","471"
"45-49",""
"Female","458"
"Male","525"
"50-54",""
"Female","384"
"Male","417"
"55-59",""
"Female","311"
"Male","326"
"5-9",""
"Female","1552"
"Male","1539"
"60-64",""
"Female","331"
"Male","342"
"65-69",""
"Female","263"
"Male","236"
"70-74",""
"Female","199"
"Male","212"
"75+",""
"Female","132"
"Male","139"
