"Population by disability type","Number"
"Blind/low vision",""
"Female","76"
"Male","64"
"","140"
"Deaf/hard of hearing",""
"Female","54"
"Male","66"
"","120"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","7"
"Male","4"
"","11"
"Mental disable",""
"Female","21"
"Male","28"
"","49"
"Multiple disable",""
"Female","17"
"Male","24"
"","41"
"No disability",""
"Female","26441"
"Male","25037"
"","51478"
"Physical",""
"Female","89"
"Male","128"
"","217"
"Speech problem",""
"Female","37"
"Male","39"
"","76"
