"Population by Mother tongue","Number"
"Danuwar",""
"Female","414"
"Male","382"
"","796"
"Doteli",""
"Female","12"
"Male","15"
"","27"
"Magar",""
"Female","31"
"Male","26"
"","57"
"Maithili",""
"Female","12901"
"Male","11769"
"","24670"
"Nepali",""
"Female","2317"
"Male","2068"
"","4385"
"Newar",""
"Female","11"
"Male","11"
"","22"
"Not Reported",""
"Female","85"
"Male","84"
"","169"
"Others",""
"Female","19"
"Male","16"
"","35"
"Rai",""
"Female","25"
"Male","19"
"","44"
"Sunuwar",""
"Female","18"
"Male","16"
"","34"
"Tamang",""
"Female","297"
"Male","296"
"","593"
"Urdu",""
"Female","67"
"Male","68"
"","135"
