"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","36"
"Male","32"
"Badhaee",""
"Female","128"
"Male","157"
"Bangali",""
"Female","49"
"Male","68"
"Baraee",""
"Female","290"
"Male","304"
"Brahman - Hill",""
"Female","713"
"Male","695"
"Brahman - Tarai",""
"Female","207"
"Male","230"
"Chamar/ Harijan/ Ram",""
"Female","2479"
"Male","2272"
"Chhetri",""
"Female","852"
"Male","823"
"Damai/Dholi",""
"Female","213"
"Male","226"
"Danuwar",""
"Female","437"
"Male","420"
"Dev",""
"Female","8"
"Male","13"
"Dhanuk",""
"Female","813"
"Male","842"
"Dhobi",""
"Female","147"
"Male","153"
"Dom",""
"Female","149"
"Male","126"
"Dusadh/ Pasawan/ Pasi",""
"Female","1596"
"Male","1601"
"Gaderi/Bhedihar",""
"Female","37"
"Male","37"
"Gharti/Bhujel",""
"Female","67"
"Male","72"
"Gurung",""
"Female","15"
"Male","8"
"Hajam/Thakur",""
"Female","532"
"Male","508"
"Halkhor",""
"Female","93"
"Male","124"
"Halwai",""
"Female","1151"
"Male","1152"
"Kalar",""
"Female","26"
"Male","30"
"Kalwar",""
"Female","307"
"Male","313"
"Kami",""
"Female","424"
"Male","382"
"Kathabaniyan",""
"Female","811"
"Male","820"
"Kayastha",""
"Female","151"
"Male","173"
"Kewat",""
"Female","435"
"Male","428"
"Khatwe",""
"Female","622"
"Male","618"
"Koiri/Kushwaha",""
"Female","3920"
"Male","3875"
"Kumal",""
"Female","48"
"Male","54"
"Kumhar",""
"Female","396"
"Male","372"
"Kurmi",""
"Female","136"
"Male","134"
"Limbu",""
"Female","38"
"Male","38"
"Lohar",""
"Female","88"
"Male","102"
"Magar",""
"Female","429"
"Male","363"
"Majhi",""
"Female","31"
"Male","25"
"Mali",""
"Female","71"
"Male","61"
"Mallaha",""
"Female","644"
"Male","619"
"Marwadi",""
"Female","203"
"Male","205"
"Musahar",""
"Female","3627"
"Male","3753"
"Musalman",""
"Female","3789"
"Male","3593"
"Newar",""
"Female","133"
"Male","125"
"Others",""
"Female","48"
"Male","34"
"Punjabi/Sikh",""
"Female","46"
"Male","45"
"Rai",""
"Female","163"
"Male","142"
"Rajdhob",""
"Female","34"
"Male","34"
"Rajput",""
"Female","259"
"Male","278"
"Sanyasi/Dasnami",""
"Female","116"
"Male","120"
"Sarki",""
"Female","174"
"Male","182"
"Sonar",""
"Female","217"
"Male","251"
"Sudhi",""
"Female","1339"
"Male","1435"
"Sunuwar",""
"Female","369"
"Male","339"
"Tamang",""
"Female","365"
"Male","350"
"Tatma/Tatwa",""
"Female","902"
"Male","835"
"Teli",""
"Female","2198"
"Male","2231"
"Terai Others",""
"Female","256"
"Male","263"
"Thakuri",""
"Female","24"
"Male","20"
"Tharu",""
"Female","8111"
"Male","7549"
"Undefined Others",""
"Female","54"
"Male","48"
"Yadav",""
"Female","5235"
"Male","5413"
