"Population by Caste/Ethinicity","Number"
"Badhaee",""
"Female","130"
"Male","136"
"Bangali",""
"Female","35"
"Male","32"
"Bantar/Sardar",""
"Female","105"
"Male","96"
"Baraee",""
"Female","167"
"Male","145"
"Brahman - Hill",""
"Female","27"
"Male","27"
"Brahman - Tarai",""
"Female","6"
"Male","11"
"Chamar/ Harijan/ Ram",""
"Female","743"
"Male","662"
"Chhetri",""
"Female","46"
"Male","35"
"Damai/Dholi",""
"Female","12"
"Male","5"
"Danuwar",""
"Female","975"
"Male","861"
"Dhanuk",""
"Female","659"
"Male","596"
"Dhobi",""
"Female","632"
"Male","598"
"Dom",""
"Female","13"
"Male","14"
"Dusadh/ Pasawan/ Pasi",""
"Female","319"
"Male","285"
"Hajam/Thakur",""
"Female","223"
"Male","199"
"Halwai",""
"Female","343"
"Male","315"
"Kalwar",""
"Female","82"
"Male","77"
"Kami",""
"Female","16"
"Male","11"
"Kathabaniyan",""
"Female","131"
"Male","114"
"Kayastha",""
"Female","15"
"Male","13"
"Kewat",""
"Female","464"
"Male","485"
"Khatwe",""
"Female","553"
"Male","565"
"Koiri/Kushwaha",""
"Female","13"
"Male","9"
"Kurmi",""
"Female","120"
"Male","101"
"Majhi",""
"Female","16"
"Male","10"
"Mali",""
"Female","17"
"Male","15"
"Mallaha",""
"Female","447"
"Male","392"
"Musahar",""
"Female","359"
"Male","378"
"Musalman",""
"Female","1063"
"Male","1001"
"Newar",""
"Female","34"
"Male","28"
"Others",""
"Female","26"
"Male","17"
"Rai",""
"Female","8"
"Male","6"
"Rajdhob",""
"Female","49"
"Male","58"
"Sanyasi/Dasnami",""
"Female","39"
"Male","24"
"Sonar",""
"Female","135"
"Male","112"
"Sudhi",""
"Female","295"
"Male","265"
"Sunuwar",""
"Female","54"
"Male","34"
"Tatma/Tatwa",""
"Female","1139"
"Male","1004"
"Teli",""
"Female","1003"
"Male","958"
"Terai Others",""
"Female","190"
"Male","195"
"Tharu",""
"Female","685"
"Male","571"
"Yadav",""
"Female","3138"
"Male","3068"
