"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","39"
"","89"
"Deaf/hard of hearing",""
"Female","26"
"Male","21"
"","47"
"Deaf-Blind",""
"Female","11"
"Male","15"
"","26"
"Intellectual disable",""
"Female","6"
"Male","13"
"","19"
"Mental disable",""
"Female","11"
"Male","12"
"","23"
"Multiple disable",""
"Female","12"
"Male","17"
"","29"
"No disability",""
"Female","14342"
"Male","13313"
"","27655"
"Physical",""
"Female","47"
"Male","68"
"","115"
"Speech problem",""
"Female","21"
"Male","30"
"","51"
