"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","24"
"Male","23"
"","47"
"Hindi",""
"Female","55"
"Male","51"
"","106"
"Magar",""
"Female","280"
"Male","249"
"","529"
"Maithili",""
"Female","22317"
"Male","21603"
"","43920"
"Nepali",""
"Female","1364"
"Male","1289"
"","2653"
"Newar",""
"Female","127"
"Male","127"
"","254"
"Not Reported",""
"Female","87"
"Male","88"
"","175"
"Others",""
"Female","18"
"Male","13"
"","31"
"Rai",""
"Female","26"
"Male","19"
"","45"
"Rajsthani",""
"Female","5"
"Male","11"
"","16"
"Sign Language",""
"Female","12"
"Male","14"
"","26"
"Sunuwar",""
"Female","7"
"Male","6"
"","13"
"Tamang",""
"Female","82"
"Male","86"
"","168"
"Thami",""
"Female","6"
"Male","7"
"","13"
"Tharu",""
"Female","24"
"Male","20"
"","44"
"Urdu",""
"Female","430"
"Male","441"
"","871"
