"Population by Educational Attainment","Number"
"Beginners",""
"Female","31520"
"Male","40173"
"Graduate and Equivalent",""
"Female","14096"
"Male","47734"
"Intermediate and Equivalent",""
"Female","45217"
"Male","96268"
"Level not Stated",""
"Female","9663"
"Male","12526"
"Lower Secondary (Class 6-8)",""
"Female","188070"
"Male","294959"
"Non Formal Education",""
"Female","16072"
"Male","20889"
"Others",""
"Female","2652"
"Male","2931"
"Post Graduate Equivalent and Above",""
"Female","2414"
"Male","12221"
"Primary Education (1-5 Class)",""
"Female","475935"
"Male","611718"
"Secondary Level (Class 9-10)",""
"Female","89425"
"Male","176562"
"SLC and Equivalent",""
"Female","76039"
"Male","149406"
