"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","36"
"Male","31"
"Brahman - Hill",""
"Female","5924"
"Male","5604"
"Chhetri",""
"Female","7603"
"Male","7126"
"Dalit Others",""
"Female","237"
"Male","227"
"Damai/Dholi",""
"Female","291"
"Male","262"
"Dhanuk",""
"Female","4"
"Male","8"
"Gharti/Bhujel",""
"Female","100"
"Male","82"
"Gurung",""
"Female","243"
"Male","219"
"Hajam/Thakur",""
"Female","7"
"Male","19"
"Kami",""
"Female","249"
"Male","218"
"Kanu",""
"Female","7"
"Male","4"
"Kurmi",""
"Female","0"
"Male","13"
"Limbu",""
"Female","34"
"Male","34"
"Magar",""
"Female","490"
"Male","492"
"Majhi",""
"Female","17"
"Male","24"
"Musalman",""
"Female","14"
"Male","49"
"Newar",""
"Female","8343"
"Male","7993"
"Others",""
"Female","40"
"Male","68"
"Pahari",""
"Female","6"
"Male","5"
"Rai",""
"Female","166"
"Male","178"
"Sanyasi/Dasnami",""
"Female","930"
"Male","761"
"Sarki",""
"Female","239"
"Male","197"
"Sherpa",""
"Female","10"
"Male","13"
"Sunuwar",""
"Female","27"
"Male","17"
"Tamang",""
"Female","3098"
"Male","2935"
"Teli",""
"Female","3"
"Male","20"
"Terai Others",""
"Female","26"
"Male","73"
"Thakuri",""
"Female","241"
"Male","236"
"Thami",""
"Female","4"
"Male","7"
"Tharu",""
"Female","43"
"Male","51"
"Yadav",""
"Female","6"
"Male","26"
