"Population by Educational Attainment","Number"
"Beginners",""
"Female","858"
"Male","986"
"Graduate and Equivalent",""
"Female","1509"
"Male","2633"
"Intermediate and Equivalent",""
"Female","3539"
"Male","4361"
"Level not Stated",""
"Female","114"
"Male","124"
"Lower Secondary (Class 6-8)",""
"Female","4685"
"Male","5504"
"Non Formal Education",""
"Female","1314"
"Male","962"
"Others",""
"Female","24"
"Male","32"
"Post Graduate Equivalent and Above",""
"Female","438"
"Male","1146"
"Primary Education (1-5 Class)",""
"Female","6592"
"Male","7140"
"Secondary Level (Class 9-10)",""
"Female","3532"
"Male","4455"
"SLC and Equivalent",""
"Female","4364"
"Male","5594"
