"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","201"
"Male","202"
"Brahman - Hill",""
"Female","4002"
"Male","3515"
"Chepang /Praja",""
"Female","3776"
"Male","3676"
"Chhetri",""
"Female","2059"
"Male","1745"
"Damai/Dholi",""
"Female","405"
"Male","373"
"Darai",""
"Female","62"
"Male","51"
"Ghale",""
"Female","55"
"Male","42"
"Gharti/Bhujel",""
"Female","81"
"Male","70"
"Gurung",""
"Female","928"
"Male","814"
"Hajam/Thakur",""
"Female","1"
"Male","10"
"Kami",""
"Female","709"
"Male","622"
"Kanu",""
"Female","15"
"Male","6"
"Kathabaniyan",""
"Female","6"
"Male","8"
"Kayastha",""
"Female","27"
"Male","23"
"Koiri/Kushwaha",""
"Female","171"
"Male","154"
"Kumal",""
"Female","633"
"Male","614"
"Magar",""
"Female","973"
"Male","882"
"Majhi",""
"Female","25"
"Male","29"
"Musalman",""
"Female","31"
"Male","45"
"Newar",""
"Female","1179"
"Male","1093"
"Others",""
"Female","43"
"Male","35"
"Rai",""
"Female","44"
"Male","42"
"Sanyasi/Dasnami",""
"Female","190"
"Male","165"
"Sarki",""
"Female","67"
"Male","69"
"Sherpa",""
"Female","21"
"Male","19"
"Sonar",""
"Female","19"
"Male","17"
"Sunuwar",""
"Female","75"
"Male","63"
"Tamang",""
"Female","3564"
"Male","3257"
"Teli",""
"Female","6"
"Male","5"
"Terai Others",""
"Female","7"
"Male","6"
"Thakuri",""
"Female","72"
"Male","69"
"Tharu",""
"Female","2822"
"Male","2491"
"Yadav",""
"Female","6"
"Male","6"
