"Population by Five Years Age Group","Number"
"0-4",""
"Female","1891"
"Male","1915"
"10-14",""
"Female","2710"
"Male","2849"
"15-19",""
"Female","2654"
"Male","2492"
"20-24",""
"Female","2463"
"Male","2550"
"25-29",""
"Female","2060"
"Male","2129"
"30-34",""
"Female","1655"
"Male","1390"
"35-39",""
"Female","1339"
"Male","1233"
"40-44",""
"Female","1170"
"Male","1089"
"45-49",""
"Female","1015"
"Male","931"
"50-54",""
"Female","803"
"Male","845"
"55-59",""
"Female","603"
"Male","682"
"5-9",""
"Female","2364"
"Male","2413"
"60-64",""
"Female","593"
"Male","573"
"65-69",""
"Female","462"
"Male","457"
"70-74",""
"Female","321"
"Male","311"
"75+",""
"Female","464"
"Male","472"
