"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","39"
"Male","68"
"Bote",""
"Female","121"
"Male","119"
"Chepang",""
"Female","2639"
"Male","2592"
"Darai",""
"Female","51"
"Male","45"
"Ghale",""
"Female","16"
"Male","9"
"Gurung",""
"Female","176"
"Male","139"
"Hindi",""
"Female","10"
"Male","11"
"Magar",""
"Female","301"
"Male","265"
"Maithili",""
"Female","186"
"Male","162"
"Nepali",""
"Female","13473"
"Male","12076"
"Newar",""
"Female","147"
"Male","144"
"Not Reported",""
"Female","18"
"Male","20"
"Others",""
"Female","30"
"Male","26"
"Rai",""
"Female","13"
"Male","8"
"Tamang",""
"Female","2322"
"Male","2106"
"Tharu",""
"Female","2733"
"Male","2428"
