"Population by Caste Ethinicity","Number"
"Bote",""
"Female","201"
"Male","202"
"","403"
"Brahman - Hill",""
"Female","4002"
"Male","3515"
"","7517"
"Chepang /Praja",""
"Female","3776"
"Male","3676"
"","7452"
"Chhetri",""
"Female","2059"
"Male","1745"
"","3804"
"Damai/Dholi",""
"Female","405"
"Male","373"
"","778"
"Darai",""
"Female","62"
"Male","51"
"","113"
"Ghale",""
"Female","55"
"Male","42"
"","97"
"Gharti/Bhujel",""
"Female","81"
"Male","70"
"","151"
"Gurung",""
"Female","928"
"Male","814"
"","1742"
"Hajam/Thakur",""
"Female","1"
"Male","10"
"","11"
"Kami",""
"Female","709"
"Male","622"
"","1331"
"Kanu",""
"Female","15"
"Male","6"
"","21"
"Kathabaniyan",""
"Female","6"
"Male","8"
"","14"
"Kayastha",""
"Female","27"
"Male","23"
"","50"
"Koiri/Kushwaha",""
"Female","171"
"Male","154"
"","325"
"Kumal",""
"Female","633"
"Male","614"
"","1247"
"Magar",""
"Female","973"
"Male","882"
"","1855"
"Majhi",""
"Female","25"
"Male","29"
"","54"
"Musalman",""
"Female","31"
"Male","45"
"","76"
"Newar",""
"Female","1179"
"Male","1093"
"","2272"
"Others",""
"Female","43"
"Male","35"
"","78"
"Rai",""
"Female","44"
"Male","42"
"","86"
"Sanyasi/Dasnami",""
"Female","190"
"Male","165"
"","355"
"Sarki",""
"Female","67"
"Male","69"
"","136"
"Sherpa",""
"Female","21"
"Male","19"
"","40"
"Sonar",""
"Female","19"
"Male","17"
"","36"
"Sunuwar",""
"Female","75"
"Male","63"
"","138"
"Tamang",""
"Female","3564"
"Male","3257"
"","6821"
"Teli",""
"Female","6"
"Male","5"
"","11"
"Terai Others",""
"Female","7"
"Male","6"
"","13"
"Thakuri",""
"Female","72"
"Male","69"
"","141"
"Tharu",""
"Female","2822"
"Male","2491"
"","5313"
"Yadav",""
"Female","6"
"Male","6"
"","12"
