"Population by Caste Ethinicity","Number"
"Badi",""
"Female","11"
"Male","8"
"","19"
"Bote",""
"Female","129"
"Male","129"
"","258"
"Brahman - Hill",""
"Female","7647"
"Male","6742"
"","14389"
"Brahman - Tarai",""
"Female","13"
"Male","14"
"","27"
"Brahmu/ Baramo",""
"Female","11"
"Male","9"
"","20"
"Chamar/ Harijan/ Ram",""
"Female","13"
"Male","24"
"","37"
"Chepang /Praja",""
"Female","136"
"Male","141"
"","277"
"Chhetri",""
"Female","4339"
"Male","3592"
"","7931"
"Damai/Dholi",""
"Female","518"
"Male","432"
"","950"
"Darai",""
"Female","1585"
"Male","1348"
"","2933"
"Dhanuk",""
"Female","8"
"Male","15"
"","23"
"Dhobi",""
"Female","4"
"Male","7"
"","11"
"Dusadh/ Pasawan/ Pasi",""
"Female","60"
"Male","67"
"","127"
"Gaine",""
"Female","76"
"Male","83"
"","159"
"Ghale",""
"Female","32"
"Male","24"
"","56"
"Gharti/Bhujel",""
"Female","126"
"Male","104"
"","230"
"Gurung",""
"Female","860"
"Male","695"
"","1555"
"Hajam/Thakur",""
"Female","13"
"Male","24"
"","37"
"Halwai",""
"Female","15"
"Male","35"
"","50"
"Kalwar",""
"Female","32"
"Male","46"
"","78"
"Kami",""
"Female","921"
"Male","761"
"","1682"
"Kanu",""
"Female","141"
"Male","170"
"","311"
"Kathabaniyan",""
"Female","13"
"Male","17"
"","30"
"Kayastha",""
"Female","7"
"Male","8"
"","15"
"Koiri/Kushwaha",""
"Female","28"
"Male","32"
"","60"
"Kumal",""
"Female","100"
"Male","90"
"","190"
"Kumhar",""
"Female","7"
"Male","5"
"","12"
"Kurmi",""
"Female","3"
"Male","13"
"","16"
"Limbu",""
"Female","6"
"Male","5"
"","11"
"Lohar",""
"Female","7"
"Male","15"
"","22"
"Magar",""
"Female","1301"
"Male","1101"
"","2402"
"Majhi",""
"Female","44"
"Male","54"
"","98"
"Mallaha",""
"Female","16"
"Male","39"
"","55"
"Marwadi",""
"Female","4"
"Male","10"
"","14"
"Musahar",""
"Female","54"
"Male","48"
"","102"
"Musalman",""
"Female","277"
"Male","401"
"","678"
"Newar",""
"Female","1189"
"Male","1080"
"","2269"
"Others",""
"Female","19"
"Male","43"
"","62"
"Rai",""
"Female","67"
"Male","62"
"","129"
"Rajput",""
"Female","7"
"Male","10"
"","17"
"Sanyasi/Dasnami",""
"Female","166"
"Male","135"
"","301"
"Sarki",""
"Female","135"
"Male","156"
"","291"
"Sonar",""
"Female","13"
"Male","7"
"","20"
"Sunuwar",""
"Female","7"
"Male","10"
"","17"
"Tamang",""
"Female","1336"
"Male","1100"
"","2436"
"Tatma/Tatwa",""
"Female","10"
"Male","10"
"","20"
"Teli",""
"Female","36"
"Male","96"
"","132"
"Terai Others",""
"Female","28"
"Male","27"
"","55"
"Thakuri",""
"Female","97"
"Male","72"
"","169"
"Thami",""
"Female","11"
"Male","6"
"","17"
"Tharu",""
"Female","8310"
"Male","6907"
"","15217"
"Undefined Others",""
"Female","6"
"Male","5"
"","11"
"Yadav",""
"Female","25"
"Male","41"
"","66"
