"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","9"
"Male","35"
"","44"
"Badi",""
"Female","441"
"Male","375"
"","816"
"Bangali",""
"Female","61"
"Male","133"
"","194"
"Bantar/Sardar",""
"Female","5"
"Male","6"
"","11"
"Baraee",""
"Female","11"
"Male","51"
"","62"
"Bhote",""
"Female","51"
"Male","62"
"","113"
"Bin",""
"Female","14"
"Male","45"
"","59"
"Bote",""
"Female","1562"
"Male","1453"
"","3015"
"Brahman - Hill",""
"Female","86836"
"Male","76708"
"","163544"
"Brahman - Tarai",""
"Female","100"
"Male","150"
"","250"
"Brahmu/ Baramo",""
"Female","75"
"Male","74"
"","149"
"Chamar/ Harijan/ Ram",""
"Female","59"
"Male","168"
"","227"
"Chepang /Praja",""
"Female","14239"
"Male","14442"
"","28681"
"Chhantyal/Chhantel",""
"Female","16"
"Male","8"
"","24"
"Chhetri",""
"Female","34397"
"Male","29553"
"","63950"
"Dalit Others",""
"Female","161"
"Male","151"
"","312"
"Damai/Dholi",""
"Female","6362"
"Male","5545"
"","11907"
"Danuwar",""
"Female","542"
"Male","519"
"","1061"
"Darai",""
"Female","4220"
"Male","3755"
"","7975"
"Dhanuk",""
"Female","32"
"Male","71"
"","103"
"Dhimal",""
"Female","9"
"Male","9"
"","18"
"Dhobi",""
"Female","24"
"Male","72"
"","96"
"Dura",""
"Female","302"
"Male","245"
"","547"
"Dusadh/ Pasawan/ Pasi",""
"Female","108"
"Male","202"
"","310"
"Foreigner",""
"Female","30"
"Male","71"
"","101"
"Gaine",""
"Female","234"
"Male","229"
"","463"
"Ghale",""
"Female","693"
"Male","553"
"","1246"
"Gharti/Bhujel",""
"Female","2322"
"Male","2071"
"","4393"
"Gurung",""
"Female","20883"
"Male","17956"
"","38839"
"Hajam/Thakur",""
"Female","195"
"Male","387"
"","582"
"Halkhor",""
"Female","7"
"Male","12"
"","19"
"Halwai",""
"Female","203"
"Male","331"
"","534"
"Hyolmo",""
"Female","107"
"Male","106"
"","213"
"Kalwar",""
"Female","505"
"Male","724"
"","1229"
"Kamar",""
"Female","6"
"Male","9"
"","15"
"Kami",""
"Female","14983"
"Male","12975"
"","27958"
"Kanu",""
"Female","421"
"Male","607"
"","1028"
"Kathabaniyan",""
"Female","592"
"Male","802"
"","1394"
"Kayastha",""
"Female","105"
"Male","124"
"","229"
"Kewat",""
"Female","8"
"Male","12"
"","20"
"Khawas",""
"Female","10"
"Male","7"
"","17"
"Koiri/Kushwaha",""
"Female","374"
"Male","496"
"","870"
"Kumal",""
"Female","4795"
"Male","4367"
"","9162"
"Kumhar",""
"Female","26"
"Male","38"
"","64"
"Kurmi",""
"Female","104"
"Male","324"
"","428"
"Limbu",""
"Female","160"
"Male","128"
"","288"
"Lodh",""
"Female","6"
"Male","5"
"","11"
"Lohar",""
"Female","37"
"Male","89"
"","126"
"Magar",""
"Female","14846"
"Male","12458"
"","27304"
"Majhi",""
"Female","231"
"Male","298"
"","529"
"Mali",""
"Female","60"
"Male","68"
"","128"
"Mallaha",""
"Female","181"
"Male","322"
"","503"
"Marwadi",""
"Female","202"
"Male","234"
"","436"
"Musahar",""
"Female","191"
"Male","209"
"","400"
"Musalman",""
"Female","2668"
"Male","3928"
"","6596"
"Nachhiring",""
"Female","7"
"Male","8"
"","15"
"Newar",""
"Female","15574"
"Male","14175"
"","29749"
"Nuniya",""
"Female","33"
"Male","75"
"","108"
"Others",""
"Female","298"
"Male","373"
"","671"
"Pahari",""
"Female","7"
"Male","8"
"","15"
"Punjabi/Sikh",""
"Female","10"
"Male","15"
"","25"
"Rai",""
"Female","1993"
"Male","1768"
"","3761"
"Rajbansi",""
"Female","5"
"Male","9"
"","14"
"Rajput",""
"Female","61"
"Male","103"
"","164"
"Sanyasi/Dasnami",""
"Female","1927"
"Male","1753"
"","3680"
"Sarki",""
"Female","3751"
"Male","3364"
"","7115"
"Satar/ Santhal",""
"Female","9"
"Male","17"
"","26"
"Sherpa",""
"Female","47"
"Male","47"
"","94"
"Sonar",""
"Female","143"
"Male","109"
"","252"
"Sudhi",""
"Female","44"
"Male","66"
"","110"
"Sunuwar",""
"Female","348"
"Male","378"
"","726"
"Tamang",""
"Female","23496"
"Male","21464"
"","44960"
"Tatma/Tatwa",""
"Female","23"
"Male","44"
"","67"
"Teli",""
"Female","488"
"Male","997"
"","1485"
"Terai Others",""
"Female","201"
"Male","270"
"","471"
"Thakali",""
"Female","145"
"Male","124"
"","269"
"Thakuri",""
"Female","1775"
"Male","1573"
"","3348"
"Thami",""
"Female","18"
"Male","12"
"","30"
"Tharu",""
"Female","33505"
"Male","29325"
"","62830"
"Undefined Others",""
"Female","98"
"Male","87"
"","185"
"Yadav",""
"Female","277"
"Male","659"
"","936"
"Yakkha",""
"Female","13"
"Male","20"
"","33"
