"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","20"
"Male","71"
"Bhujel",""
"Female","10"
"Male","12"
"Chepang",""
"Female","4107"
"Male","4164"
"Doteli",""
"Female","7"
"Male","4"
"Ghale",""
"Female","49"
"Male","45"
"Gurung",""
"Female","176"
"Male","175"
"Hindi",""
"Female","7"
"Male","46"
"Magar",""
"Female","474"
"Male","466"
"Maithili",""
"Female","19"
"Male","51"
"Nepali",""
"Female","9325"
"Male","8945"
"Newar",""
"Female","87"
"Male","96"
"Not Reported",""
"Female","13"
"Male","5"
"Others",""
"Female","16"
"Male","17"
"Rai",""
"Female","11"
"Male","10"
"Tamang",""
"Female","1449"
"Male","1507"
"Tharu",""
"Female","8"
"Male","18"
"Urdu",""
"Female","37"
"Male","28"
