"Population by Five Years Age Group","Number"
"0-4",""
"Female","1112"
"Male","1204"
"10-14",""
"Female","1911"
"Male","1907"
"15-19",""
"Female","1932"
"Male","1739"
"20-24",""
"Female","1583"
"Male","1355"
"25-29",""
"Female","1260"
"Male","1149"
"30-34",""
"Female","1104"
"Male","968"
"35-39",""
"Female","1025"
"Male","947"
"40-44",""
"Female","858"
"Male","898"
"45-49",""
"Female","734"
"Male","699"
"50-54",""
"Female","686"
"Male","737"
"55-59",""
"Female","517"
"Male","564"
"5-9",""
"Female","1568"
"Male","1466"
"60-64",""
"Female","452"
"Male","470"
"65-69",""
"Female","425"
"Male","392"
"70-74",""
"Female","279"
"Male","289"
"75+",""
"Female","386"
"Male","413"
