"Population by Five Years Age Group","Number"
"0-4",""
"Female","1373"
"Male","1431"
"10-14",""
"Female","1977"
"Male","1953"
"15-19",""
"Female","1595"
"Male","1456"
"20-24",""
"Female","1249"
"Male","1071"
"25-29",""
"Female","1091"
"Male","1246"
"30-34",""
"Female","856"
"Male","885"
"35-39",""
"Female","765"
"Male","803"
"40-44",""
"Female","633"
"Male","674"
"45-49",""
"Female","547"
"Male","556"
"50-54",""
"Female","467"
"Male","561"
"55-59",""
"Female","377"
"Male","405"
"5-9",""
"Female","1779"
"Male","1820"
"60-64",""
"Female","309"
"Male","358"
"65-69",""
"Female","244"
"Male","296"
"70-74",""
"Female","180"
"Male","207"
"75+",""
"Female","331"
"Male","346"
