"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2045"
"Male","1885"
"","3930"
"Chepang /Praja",""
"Female","1950"
"Male","1977"
"","3927"
"Chhetri",""
"Female","2325"
"Male","2146"
"","4471"
"Damai/Dholi",""
"Female","373"
"Male","402"
"","775"
"Danuwar",""
"Female","250"
"Male","216"
"","466"
"Ghale",""
"Female","116"
"Male","94"
"","210"
"Gharti/Bhujel",""
"Female","273"
"Male","271"
"","544"
"Gurung",""
"Female","97"
"Male","81"
"","178"
"Kami",""
"Female","621"
"Male","572"
"","1193"
"Magar",""
"Female","712"
"Male","666"
"","1378"
"Majhi",""
"Female","7"
"Male","10"
"","17"
"Musalman",""
"Female","43"
"Male","72"
"","115"
"Newar",""
"Female","778"
"Male","749"
"","1527"
"Others",""
"Female","35"
"Male","37"
"","72"
"Rai",""
"Female","35"
"Male","40"
"","75"
"Sanyasi/Dasnami",""
"Female","36"
"Male","43"
"","79"
"Sarki",""
"Female","589"
"Male","570"
"","1159"
"Tamang",""
"Female","3455"
"Male","3448"
"","6903"
"Thakuri",""
"Female","10"
"Male","8"
"","18"
"Tharu",""
"Female","10"
"Male","14"
"","24"
"Undefined Others",""
"Female","13"
"Male","10"
"","23"
