"Population by Single Year of Age","Number"
"0",""
"Female","217"
"Male","231"
"1",""
"Female","212"
"Male","210"
"10",""
"Female","388"
"Male","390"
"11",""
"Female","352"
"Male","349"
"12",""
"Female","413"
"Male","395"
"13",""
"Female","392"
"Male","347"
"14",""
"Female","408"
"Male","360"
"15",""
"Female","361"
"Male","349"
"16",""
"Female","387"
"Male","309"
"17",""
"Female","329"
"Male","261"
"18",""
"Female","376"
"Male","309"
"19",""
"Female","229"
"Male","215"
"2",""
"Female","185"
"Male","207"
"20",""
"Female","286"
"Male","235"
"21",""
"Female","219"
"Male","192"
"22",""
"Female","272"
"Male","206"
"23",""
"Female","219"
"Male","183"
"24",""
"Female","205"
"Male","196"
"25",""
"Female","253"
"Male","226"
"26",""
"Female","219"
"Male","151"
"27",""
"Female","170"
"Male","185"
"28",""
"Female","217"
"Male","253"
"29",""
"Female","113"
"Male","133"
"3",""
"Female","204"
"Male","222"
"30",""
"Female","303"
"Male","287"
"31",""
"Female","114"
"Male","92"
"32",""
"Female","200"
"Male","207"
"33",""
"Female","119"
"Male","119"
"34",""
"Female","107"
"Male","121"
"35",""
"Female","280"
"Male","236"
"36",""
"Female","145"
"Male","172"
"37",""
"Female","97"
"Male","99"
"38",""
"Female","161"
"Male","127"
"39",""
"Female","83"
"Male","79"
"4",""
"Female","252"
"Male","243"
"40",""
"Female","276"
"Male","272"
"41",""
"Female","93"
"Male","74"
"42",""
"Female","134"
"Male","147"
"43",""
"Female","77"
"Male","92"
"44",""
"Female","73"
"Male","61"
"45",""
"Female","237"
"Male","195"
"46",""
"Female","102"
"Male","81"
"47",""
"Female","66"
"Male","75"
"48",""
"Female","110"
"Male","115"
"49",""
"Female","63"
"Male","71"
"5",""
"Female","291"
"Male","286"
"50",""
"Female","240"
"Male","258"
"51",""
"Female","62"
"Male","80"
"52",""
"Female","86"
"Male","109"
"53",""
"Female","58"
"Male","75"
"54",""
"Female","70"
"Male","87"
"55",""
"Female","139"
"Male","147"
"56",""
"Female","53"
"Male","83"
"57",""
"Female","52"
"Male","67"
"58",""
"Female","53"
"Male","88"
"59",""
"Female","44"
"Male","65"
"6",""
"Female","305"
"Male","262"
"60",""
"Female","139"
"Male","142"
"61",""
"Female","44"
"Male","45"
"62",""
"Female","43"
"Male","57"
"63",""
"Female","30"
"Male","47"
"64",""
"Female","41"
"Male","48"
"65",""
"Female","119"
"Male","101"
"66",""
"Female","36"
"Male","35"
"67",""
"Female","46"
"Male","54"
"68",""
"Female","62"
"Male","73"
"69",""
"Female","16"
"Male","39"
"7",""
"Female","330"
"Male","316"
"70",""
"Female","118"
"Male","85"
"71",""
"Female","18"
"Male","19"
"72",""
"Female","39"
"Male","35"
"73",""
"Female","19"
"Male","31"
"74",""
"Female","20"
"Male","22"
"75",""
"Female","67"
"Male","49"
"76",""
"Female","25"
"Male","31"
"77",""
"Female","30"
"Male","32"
"78",""
"Female","47"
"Male","53"
"79",""
"Female","14"
"Male","19"
"8",""
"Female","334"
"Male","347"
"80",""
"Female","58"
"Male","54"
"81",""
"Female","13"
"Male","14"
"82",""
"Female","20"
"Male","22"
"83",""
"Female","15"
"Male","17"
"84",""
"Female","15"
"Male","14"
"85",""
"Female","66"
"Male","91"
"9",""
"Female","339"
"Male","303"
