"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","8"
"Male","11"
"Brahman - Hill",""
"Female","5109"
"Male","4497"
"Brahmu/ Baramo",""
"Female","53"
"Male","44"
"Chhetri",""
"Female","3777"
"Male","3219"
"Dalit Others",""
"Female","6"
"Male","13"
"Damai/Dholi",""
"Female","890"
"Male","711"
"Ghale",""
"Female","164"
"Male","126"
"Gharti/Bhujel",""
"Female","85"
"Male","60"
"Gurung",""
"Female","5399"
"Male","4196"
"Hajam/Thakur",""
"Female","5"
"Male","18"
"Kalwar",""
"Female","31"
"Male","38"
"Kami",""
"Female","1335"
"Male","1088"
"Kanu",""
"Female","6"
"Male","11"
"Kumal",""
"Female","657"
"Male","604"
"Magar",""
"Female","3484"
"Male","2694"
"Musalman",""
"Female","72"
"Male","90"
"Newar",""
"Female","5538"
"Male","4748"
"Others",""
"Female","45"
"Male","59"
"Rai",""
"Female","24"
"Male","18"
"Sanyasi/Dasnami",""
"Female","158"
"Male","151"
"Sarki",""
"Female","2151"
"Male","1625"
"Sherpa",""
"Female","13"
"Male","12"
"Tamang",""
"Female","2491"
"Male","2040"
"Teli",""
"Female","18"
"Male","24"
"Terai Others",""
"Female","7"
"Male","9"
"Thakuri",""
"Female","462"
"Male","372"
"Tharu",""
"Female","10"
"Male","18"
"Yadav",""
"Female","7"
"Male","14"
