"Population by Mother tongue","Number"
"Ghale",""
"Female","26"
"Male","26"
"","52"
"Gurung",""
"Female","96"
"Male","82"
"","178"
"Magar",""
"Female","1378"
"Male","1184"
"","2562"
"Majhi",""
"Female","24"
"Male","24"
"","48"
"Nepali",""
"Female","11015"
"Male","9439"
"","20454"
"Newar",""
"Female","20"
"Male","30"
"","50"
"Not Reported",""
"Female","24"
"Male","16"
"","40"
"Others",""
"Female","8"
"Male","12"
"","20"
"Tamang",""
"Female","165"
"Male","146"
"","311"
"Urdu",""
"Female","8"
"Male","6"
"","14"
