"Population by Educational Attainment","Number"
"Beginners",""
"Female","345"
"Male","437"
"","782"
"Graduate and Equivalent",""
"Female","48"
"Male","99"
"","147"
"Intermediate and Equivalent",""
"Female","270"
"Male","343"
"","613"
"Level not Stated",""
"Female","38"
"Male","40"
"","78"
"Lower Secondary (Class 6-8)",""
"Female","1985"
"Male","2261"
"","4246"
"Non Formal Education",""
"Female","377"
"Male","450"
"","827"
"Others",""
"Female","10"
"Male","10"
"","20"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","54"
"","62"
"Primary Education (1-5 Class)",""
"Female","4586"
"Male","5523"
"","10109"
"Secondary Level (Class 9-10)",""
"Female","841"
"Male","947"
"","1788"
"SLC and Equivalent",""
"Female","619"
"Male","788"
"","1407"
