"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","164"
"Male","368"
"Bhujel",""
"Female","10"
"Male","12"
"Chepang",""
"Female","4195"
"Male","4247"
"Doteli",""
"Female","7"
"Male","4"
"English",""
"Female","10"
"Male","8"
"Ghale",""
"Female","1451"
"Male","1012"
"Gurung",""
"Female","3992"
"Male","3039"
"Hindi",""
"Female","71"
"Male","202"
"Jirel",""
"Female","5"
"Male","9"
"Kumal",""
"Female","815"
"Male","772"
"Limbu",""
"Female","8"
"Male","5"
"Magar",""
"Female","3508"
"Male","2924"
"Maithili",""
"Female","106"
"Male","278"
"Majhi",""
"Female","24"
"Male","24"
"Nepali",""
"Female","126181"
"Male","109603"
"Newar",""
"Female","1630"
"Male","1455"
"Not Reported",""
"Female","129"
"Male","123"
"Others",""
"Female","159"
"Male","174"
"Rai",""
"Female","37"
"Male","37"
"Sherpa",""
"Female","0"
"Male","13"
"Sign Language",""
"Female","7"
"Male","9"
"Tamang",""
"Female","35516"
"Male","31598"
"Tharu",""
"Female","15"
"Male","27"
"Urdu",""
"Female","152"
"Male","157"
