"Industries Types","Number"
"Accommodation and food","1834"
"Administrative and support service activity","27"
"Agriculture, forestry and fishing","916"
"Art, entertainment and recreation","7"
"Construction","10"
"Education","617"
"Electricty gas and water","22"
"Financial intermediation and insurance","380"
"Health and social work","422"
"Information and communications","14"
"Manufacturing","1580"
"Mining and quarrying","32"
"Other service activities","773"
"Professional,scientific and techniqual activity","49"
"Real state, renting and business activities","0"
"Transport and storage","60"
"Water supply, wet management","62"
"Wholesale and retail trade","5246"
"Total","12051"
