"Population by Caste Ethinicity","Number"
"Badi",""
"Female","15"
"Male","13"
"","28"
"Brahman - Hill",""
"Female","1920"
"Male","1504"
"","3424"
"Chhetri",""
"Female","3290"
"Male","2700"
"","5990"
"Damai/Dholi",""
"Female","429"
"Male","388"
"","817"
"Gharti/Bhujel",""
"Female","141"
"Male","139"
"","280"
"Jirel",""
"Female","242"
"Male","214"
"","456"
"Kami",""
"Female","412"
"Male","349"
"","761"
"Magar",""
"Female","36"
"Male","36"
"","72"
"Newar",""
"Female","987"
"Male","833"
"","1820"
"Others",""
"Female","46"
"Male","28"
"","74"
"Rai",""
"Female","10"
"Male","12"
"","22"
"Sanyasi/Dasnami",""
"Female","256"
"Male","253"
"","509"
"Sarki",""
"Female","544"
"Male","483"
"","1027"
"Sherpa",""
"Female","141"
"Male","137"
"","278"
"Tamang",""
"Female","2251"
"Male","1941"
"","4192"
"Thami",""
"Female","61"
"Male","65"
"","126"
