"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","186"
"Male","187"
"Chhetri",""
"Female","2404"
"Male","1962"
"Damai/Dholi",""
"Female","225"
"Male","182"
"Gharti/Bhujel",""
"Female","43"
"Male","31"
"Gurung",""
"Female","27"
"Male","18"
"Jirel",""
"Female","1810"
"Male","1550"
"Kami",""
"Female","340"
"Male","288"
"Magar",""
"Female","11"
"Male","10"
"Newar",""
"Female","395"
"Male","360"
"Others",""
"Female","31"
"Male","38"
"Rai",""
"Female","21"
"Male","20"
"Sanyasi/Dasnami",""
"Female","23"
"Male","27"
"Sherpa",""
"Female","1494"
"Male","1298"
"Sunuwar",""
"Female","415"
"Male","330"
"Tamang",""
"Female","933"
"Male","815"
"Teli",""
"Female","5"
"Male","6"
"Tharu",""
"Female","6"
"Male","9"
"Yadav",""
"Female","5"
"Male","10"
