"Population by disability type","Number"
"Blind/low vision",""
"Female","48"
"Male","40"
"","88"
"Deaf/hard of hearing",""
"Female","46"
"Male","48"
"","94"
"Deaf-Blind",""
"Female","16"
"Male","8"
"","24"
"Intellectual disable",""
"Female","10"
"Male","5"
"","15"
"Mental disable",""
"Female","20"
"Male","17"
"","37"
"Multiple disable",""
"Female","13"
"Male","14"
"","27"
"No disability",""
"Female","10904"
"Male","8699"
"","19603"
"Physical",""
"Female","108"
"Male","134"
"","242"
"Speech problem",""
"Female","30"
"Male","50"
"","80"
