"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","32"
"Male","41"
"Bangali",""
"Female","19"
"Male","36"
"Bhote",""
"Female","5"
"Male","7"
"Brahman - Hill",""
"Female","6533"
"Male","6665"
"Brahman - Tarai",""
"Female","22"
"Male","34"
"Chamar/ Harijan/ Ram",""
"Female","13"
"Male","60"
"Chepang /Praja",""
"Female","13"
"Male","7"
"Chhetri",""
"Female","10039"
"Male","9890"
"Dalit Others",""
"Female","252"
"Male","248"
"Damai/Dholi",""
"Female","456"
"Male","404"
"Danuwar",""
"Female","12"
"Male","19"
"Dev",""
"Female","5"
"Male","8"
"Dhanuk",""
"Female","13"
"Male","39"
"Dhimal",""
"Female","12"
"Male","12"
"Dhobi",""
"Female","2"
"Male","20"
"Dusadh/ Pasawan/ Pasi",""
"Female","10"
"Male","28"
"Foreigner",""
"Female","8"
"Male","9"
"Gaine",""
"Female","7"
"Male","9"
"Ghale",""
"Female","66"
"Male","49"
"Gharti/Bhujel",""
"Female","86"
"Male","95"
"Gurung",""
"Female","488"
"Male","469"
"Hajam/Thakur",""
"Female","44"
"Male","81"
"Halwai",""
"Female","16"
"Male","33"
"Kalwar",""
"Female","37"
"Male","81"
"Kami",""
"Female","535"
"Male","578"
"Kanu",""
"Female","10"
"Male","19"
"Kathabaniyan",""
"Female","23"
"Male","27"
"Kayastha",""
"Female","15"
"Male","16"
"Kewat",""
"Female","5"
"Male","6"
"Koiri/Kushwaha",""
"Female","29"
"Male","69"
"Kumal",""
"Female","39"
"Male","55"
"Kumhar",""
"Female","3"
"Male","34"
"Kurmi",""
"Female","0"
"Male","15"
"Limbu",""
"Female","128"
"Male","154"
"Lohar",""
"Female","14"
"Male","39"
"Magar",""
"Female","2590"
"Male","2560"
"Majhi",""
"Female","124"
"Male","151"
"Mali",""
"Female","42"
"Male","36"
"Mallaha",""
"Female","5"
"Male","8"
"Marwadi",""
"Female","36"
"Male","44"
"Musahar",""
"Female","4"
"Male","9"
"Musalman",""
"Female","246"
"Male","684"
"Newar",""
"Female","12736"
"Male","12148"
"Nuniya",""
"Female","3"
"Male","9"
"Others",""
"Female","56"
"Male","56"
"Rai",""
"Female","506"
"Male","471"
"Rajbansi",""
"Female","28"
"Male","33"
"Rajput",""
"Female","23"
"Male","28"
"Sanyasi/Dasnami",""
"Female","816"
"Male","779"
"Sarki",""
"Female","553"
"Male","517"
"Sherpa",""
"Female","38"
"Male","31"
"Sudhi",""
"Female","9"
"Male","14"
"Sunuwar",""
"Female","72"
"Male","80"
"Tamang",""
"Female","4632"
"Male","4729"
"Tatma/Tatwa",""
"Female","5"
"Male","7"
"Teli",""
"Female","52"
"Male","83"
"Terai Others",""
"Female","29"
"Male","54"
"Thakali",""
"Female","9"
"Male","13"
"Thakuri",""
"Female","280"
"Male","316"
"Thami",""
"Female","13"
"Male","16"
"Tharu",""
"Female","338"
"Male","431"
"Undefined Others",""
"Female","7"
"Male","12"
"Yadav",""
"Female","64"
"Male","197"
"Yakkha",""
"Female","10"
"Male","9"
