"Population by Single Year of Age","Number"
"0",""
"Female","543"
"Male","650"
"1",""
"Female","572"
"Male","689"
"10",""
"Female","790"
"Male","897"
"11",""
"Female","727"
"Male","781"
"12",""
"Female","865"
"Male","964"
"13",""
"Female","802"
"Male","884"
"14",""
"Female","911"
"Male","983"
"15",""
"Female","940"
"Male","1021"
"16",""
"Female","862"
"Male","1027"
"17",""
"Female","860"
"Male","899"
"18",""
"Female","1009"
"Male","1191"
"19",""
"Female","804"
"Male","813"
"2",""
"Female","580"
"Male","666"
"20",""
"Female","1175"
"Male","1234"
"21",""
"Female","937"
"Male","932"
"22",""
"Female","1263"
"Male","1235"
"23",""
"Female","1068"
"Male","921"
"24",""
"Female","1194"
"Male","1057"
"25",""
"Female","1243"
"Male","1130"
"26",""
"Female","1031"
"Male","1004"
"27",""
"Female","959"
"Male","860"
"28",""
"Female","1141"
"Male","1193"
"29",""
"Female","643"
"Male","736"
"3",""
"Female","540"
"Male","613"
"30",""
"Female","1356"
"Male","1306"
"31",""
"Female","507"
"Male","600"
"32",""
"Female","865"
"Male","880"
"33",""
"Female","591"
"Male","597"
"34",""
"Female","576"
"Male","670"
"35",""
"Female","1119"
"Male","1161"
"36",""
"Female","606"
"Male","640"
"37",""
"Female","461"
"Male","498"
"38",""
"Female","690"
"Male","757"
"39",""
"Female","379"
"Male","419"
"4",""
"Female","637"
"Male","694"
"40",""
"Female","1018"
"Male","1116"
"41",""
"Female","294"
"Male","367"
"42",""
"Female","555"
"Male","620"
"43",""
"Female","351"
"Male","391"
"44",""
"Female","330"
"Male","347"
"45",""
"Female","680"
"Male","789"
"46",""
"Female","353"
"Male","348"
"47",""
"Female","267"
"Male","276"
"48",""
"Female","417"
"Male","481"
"49",""
"Female","268"
"Male","262"
"5",""
"Female","727"
"Male","765"
"50",""
"Female","632"
"Male","665"
"51",""
"Female","189"
"Male","225"
"52",""
"Female","297"
"Male","355"
"53",""
"Female","198"
"Male","205"
"54",""
"Female","183"
"Male","192"
"55",""
"Female","338"
"Male","386"
"56",""
"Female","187"
"Male","226"
"57",""
"Female","144"
"Male","175"
"58",""
"Female","196"
"Male","256"
"59",""
"Female","128"
"Male","146"
"6",""
"Female","671"
"Male","699"
"60",""
"Female","434"
"Male","342"
"61",""
"Female","117"
"Male","157"
"62",""
"Female","152"
"Male","145"
"63",""
"Female","132"
"Male","117"
"64",""
"Female","131"
"Male","102"
"65",""
"Female","311"
"Male","214"
"66",""
"Female","131"
"Male","103"
"67",""
"Female","105"
"Male","103"
"68",""
"Female","145"
"Male","151"
"69",""
"Female","66"
"Male","74"
"7",""
"Female","691"
"Male","716"
"70",""
"Female","232"
"Male","198"
"71",""
"Female","44"
"Male","55"
"72",""
"Female","100"
"Male","106"
"73",""
"Female","68"
"Male","76"
"74",""
"Female","60"
"Male","64"
"75",""
"Female","147"
"Male","112"
"76",""
"Female","60"
"Male","85"
"77",""
"Female","63"
"Male","66"
"78",""
"Female","98"
"Male","70"
"79",""
"Female","30"
"Male","31"
"8",""
"Female","689"
"Male","833"
"80",""
"Female","99"
"Male","65"
"81",""
"Female","27"
"Male","27"
"82",""
"Female","41"
"Male","35"
"83",""
"Female","26"
"Male","27"
"84",""
"Female","35"
"Male","25"
"85",""
"Female","137"
"Male","118"
"9",""
"Female","678"
"Male","724"
