"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","50"
"","115"
"Deaf/hard of hearing",""
"Female","49"
"Male","54"
"","103"
"Deaf-Blind",""
"Female","6"
"Male","4"
"","10"
"Intellectual disable",""
"Female","7"
"Male","15"
"","22"
"Mental disable",""
"Female","25"
"Male","23"
"","48"
"Multiple disable",""
"Female","23"
"Male","28"
"","51"
"No disability",""
"Female","12038"
"Male","11483"
"","23521"
"Physical",""
"Female","183"
"Male","175"
"","358"
"Speech problem",""
"Female","28"
"Male","41"
"","69"
