"Population by Five Years Age Group","Number"
"0-4",""
"Female","3326"
"Male","3834"
"10-14",""
"Female","4964"
"Male","5599"
"15-19",""
"Female","5581"
"Male","6743"
"20-24",""
"Female","6860"
"Male","6505"
"25-29",""
"Female","6090"
"Male","5341"
"30-34",""
"Female","4885"
"Male","4688"
"35-39",""
"Female","3736"
"Male","4026"
"40-44",""
"Female","2607"
"Male","3123"
"45-49",""
"Female","1835"
"Male","2139"
"50-54",""
"Female","1340"
"Male","1551"
"55-59",""
"Female","961"
"Male","1063"
"5-9",""
"Female","4326"
"Male","4818"
"60-64",""
"Female","801"
"Male","735"
"65-69",""
"Female","604"
"Male","544"
"70-74",""
"Female","438"
"Male","368"
"75+",""
"Female","748"
"Male","601"
