"Population by disability type","Number"
"Blind/low vision",""
"Female","1711"
"Male","1854"
"","3565"
"Deaf/hard of hearing",""
"Female","1224"
"Male","1101"
"","2325"
"Deaf-Blind",""
"Female","159"
"Male","147"
"","306"
"Intellectual disable",""
"Female","247"
"Male","318"
"","565"
"Mental disable",""
"Female","535"
"Male","577"
"","1112"
"Multiple disable",""
"Female","501"
"Male","583"
"","1084"
"No disability",""
"Female","811978"
"Male","870954"
"","1682932"
"Physical",""
"Female","2442"
"Male","3204"
"","5646"
"Speech problem",""
"Female","783"
"Male","971"
"","1754"
