"Population by Educational Attainment","Number"
"Beginners",""
"Female","94"
"Male","85"
"","179"
"Graduate and Equivalent",""
"Female","31"
"Male","67"
"","98"
"Intermediate and Equivalent",""
"Female","202"
"Male","210"
"","412"
"Level not Stated",""
"Female","37"
"Male","40"
"","77"
"Lower Secondary (Class 6-8)",""
"Female","1127"
"Male","1175"
"","2302"
"Non Formal Education",""
"Female","329"
"Male","303"
"","632"
"Others",""
"Female","3"
"Male","4"
"","7"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","23"
"","30"
"Primary Education (1-5 Class)",""
"Female","2065"
"Male","2429"
"","4494"
"Secondary Level (Class 9-10)",""
"Female","550"
"Male","629"
"","1179"
"SLC and Equivalent",""
"Female","381"
"Male","567"
"","948"
