"Population by Five Years Age Group","Number"
"0-4",""
"Female","871"
"Male","844"
"10-14",""
"Female","1141"
"Male","1127"
"15-19",""
"Female","908"
"Male","848"
"20-24",""
"Female","670"
"Male","498"
"25-29",""
"Female","484"
"Male","432"
"30-34",""
"Female","395"
"Male","363"
"35-39",""
"Female","358"
"Male","353"
"40-44",""
"Female","347"
"Male","360"
"45-49",""
"Female","234"
"Male","256"
"50-54",""
"Female","229"
"Male","245"
"55-59",""
"Female","146"
"Male","164"
"5-9",""
"Female","1087"
"Male","1141"
"60-64",""
"Female","145"
"Male","136"
"65-69",""
"Female","92"
"Male","113"
"70-74",""
"Female","77"
"Male","69"
"75+",""
"Female","150"
"Male","115"
