"Population by Five Years Age Group","Number"
"0-4",""
"Female","1122"
"Male","1171"
"10-14",""
"Female","2203"
"Male","2192"
"15-19",""
"Female","2126"
"Male","1702"
"20-24",""
"Female","1388"
"Male","1073"
"25-29",""
"Female","1302"
"Male","978"
"30-34",""
"Female","1210"
"Male","917"
"35-39",""
"Female","1226"
"Male","980"
"40-44",""
"Female","1070"
"Male","905"
"45-49",""
"Female","907"
"Male","874"
"50-54",""
"Female","768"
"Male","771"
"55-59",""
"Female","522"
"Male","558"
"5-9",""
"Female","1744"
"Male","1660"
"60-64",""
"Female","531"
"Male","505"
"65-69",""
"Female","432"
"Male","402"
"70-74",""
"Female","375"
"Male","334"
"75+",""
"Female","418"
"Male","402"
