"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","909"
"Male","756"
"Chhetri",""
"Female","531"
"Male","423"
"Damai/Dholi",""
"Female","158"
"Male","155"
"Gharti/Bhujel",""
"Female","5"
"Male","9"
"Kami",""
"Female","309"
"Male","286"
"Magar",""
"Female","677"
"Male","622"
"Majhi",""
"Female","89"
"Male","84"
"Newar",""
"Female","446"
"Male","390"
"Others",""
"Female","23"
"Male","20"
"Sanyasi/Dasnami",""
"Female","5"
"Male","6"
"Sonar",""
"Female","8"
"Male","9"
"Tamang",""
"Female","8883"
"Male","7729"
"Thakuri",""
"Female","71"
"Male","76"
"Undefined Others",""
"Female","15"
"Male","18"
