"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","56"
"Male","53"
"Bangali",""
"Female","5"
"Male","11"
"Bhote",""
"Female","105"
"Male","98"
"Brahman - Hill",""
"Female","43016"
"Male","37813"
"Brahman - Tarai",""
"Female","15"
"Male","18"
"Chamar/ Harijan/ Ram",""
"Female","14"
"Male","22"
"Chhetri",""
"Female","26440"
"Male","23623"
"Dalit Others",""
"Female","509"
"Male","436"
"Damai/Dholi",""
"Female","2984"
"Male","2547"
"Danuwar",""
"Female","3664"
"Male","3186"
"Dhanuk",""
"Female","5"
"Male","14"
"Dhobi",""
"Female","4"
"Male","9"
"Gaine",""
"Female","8"
"Male","5"
"Ghale",""
"Female","6"
"Male","7"
"Gharti/Bhujel",""
"Female","1716"
"Male","1641"
"Gurung",""
"Female","543"
"Male","461"
"Hajam/Thakur",""
"Female","35"
"Male","69"
"Halwai",""
"Female","11"
"Male","8"
"Hayu",""
"Female","27"
"Male","17"
"Kalwar",""
"Female","31"
"Male","55"
"Kami",""
"Female","4831"
"Male","4307"
"Kanu",""
"Female","2"
"Male","11"
"Kathabaniyan",""
"Female","46"
"Male","46"
"Kayastha",""
"Female","13"
"Male","16"
"Koiri/Kushwaha",""
"Female","3"
"Male","18"
"Kurmi",""
"Female","3"
"Male","11"
"Limbu",""
"Female","97"
"Male","105"
"Magar",""
"Female","7502"
"Male","6732"
"Majhi",""
"Female","1418"
"Male","1318"
"Marwadi",""
"Female","10"
"Male","13"
"Musalman",""
"Female","74"
"Male","202"
"Newar",""
"Female","25757"
"Male","23898"
"Others",""
"Female","394"
"Male","457"
"Pahari",""
"Female","1824"
"Male","1704"
"Rai",""
"Female","536"
"Male","472"
"Sanyasi/Dasnami",""
"Female","1898"
"Male","1629"
"Sarki",""
"Female","3748"
"Male","3348"
"Sherpa",""
"Female","12"
"Male","11"
"Sonar",""
"Female","35"
"Male","29"
"Sudhi",""
"Female","9"
"Male","9"
"Sunuwar",""
"Female","93"
"Male","78"
"Tamang",""
"Female","68291"
"Male","61073"
"Teli",""
"Female","37"
"Male","117"
"Terai Others",""
"Female","126"
"Male","164"
"Thakuri",""
"Female","1484"
"Male","1368"
"Thami",""
"Female","61"
"Male","72"
"Tharu",""
"Female","90"
"Male","123"
"Undefined Others",""
"Female","46"
"Male","43"
"Yadav",""
"Female","41"
"Male","79"
