"Population by Mother tongue","Number"
"Avadhi",""
"Female","8"
"Male","3"
"Bangla",""
"Female","5"
"Male","8"
"Bhojpuri",""
"Female","138"
"Male","331"
"Danuwar",""
"Female","3279"
"Male","2867"
"Gurung",""
"Female","72"
"Male","71"
"Hindi",""
"Female","71"
"Male","190"
"Limbu",""
"Female","17"
"Male","27"
"Magar",""
"Female","2743"
"Male","2515"
"Maithili",""
"Female","330"
"Male","594"
"Majhi",""
"Female","715"
"Male","646"
"Nepali",""
"Female","100503"
"Male","89085"
"Newar",""
"Female","21604"
"Male","20115"
"Not Reported",""
"Female","271"
"Male","264"
"Others",""
"Female","218"
"Male","247"
"Pahari",""
"Female","34"
"Male","29"
"Rai",""
"Female","269"
"Male","234"
"Rajsthani",""
"Female","10"
"Male","13"
"Sherpa",""
"Female","7"
"Male","5"
"Sunuwar",""
"Female","16"
"Male","24"
"Tamang",""
"Female","67280"
"Male","60160"
"Thami",""
"Female","35"
"Male","38"
"Tharu",""
"Female","41"
"Male","59"
"Urdu",""
"Female","9"
"Male","21"
