"Population by Mother tongue","Number"
"Avadhi",""
"Female","8"
"Male","3"
"","11"
"Bangla",""
"Female","5"
"Male","8"
"","13"
"Bhojpuri",""
"Female","138"
"Male","331"
"","469"
"Danuwar",""
"Female","3279"
"Male","2867"
"","6146"
"Gurung",""
"Female","72"
"Male","71"
"","143"
"Hindi",""
"Female","71"
"Male","190"
"","261"
"Limbu",""
"Female","17"
"Male","27"
"","44"
"Magar",""
"Female","2743"
"Male","2515"
"","5258"
"Maithili",""
"Female","330"
"Male","594"
"","924"
"Majhi",""
"Female","715"
"Male","646"
"","1361"
"Nepali",""
"Female","100503"
"Male","89085"
"","189588"
"Newar",""
"Female","21604"
"Male","20115"
"","41719"
"Not Reported",""
"Female","271"
"Male","264"
"","535"
"Others",""
"Female","218"
"Male","247"
"","465"
"Pahari",""
"Female","34"
"Male","29"
"","63"
"Rai",""
"Female","269"
"Male","234"
"","503"
"Rajsthani",""
"Female","10"
"Male","13"
"","23"
"Sherpa",""
"Female","7"
"Male","5"
"","12"
"Sunuwar",""
"Female","16"
"Male","24"
"","40"
"Tamang",""
"Female","67280"
"Male","60160"
"","127440"
"Thami",""
"Female","35"
"Male","38"
"","73"
"Tharu",""
"Female","41"
"Male","59"
"","100"
"Urdu",""
"Female","9"
"Male","21"
"","30"
