"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","5"
"Male","36"
"","41"
"Badi",""
"Female","84"
"Male","98"
"","182"
"Bahing",""
"Female","7"
"Male","10"
"","17"
"Bangali",""
"Female","127"
"Male","256"
"","383"
"Bantaba",""
"Female","25"
"Male","25"
"","50"
"Bantar/Sardar",""
"Female","16"
"Male","34"
"","50"
"Baraee",""
"Female","55"
"Male","120"
"","175"
"Bhote",""
"Female","45"
"Male","38"
"","83"
"Bin",""
"Female","6"
"Male","10"
"","16"
"Bote",""
"Female","12"
"Male","10"
"","22"
"Brahman - Hill",""
"Female","15954"
"Male","17858"
"","33812"
"Brahman - Tarai",""
"Female","281"
"Male","415"
"","696"
"Brahmu/ Baramo",""
"Female","4"
"Male","7"
"","11"
"Byasi/Sauka",""
"Female","4"
"Male","9"
"","13"
"Chamar/ Harijan/ Ram",""
"Female","50"
"Male","134"
"","184"
"Chamling",""
"Female","64"
"Male","56"
"","120"
"Chepang /Praja",""
"Female","45"
"Male","59"
"","104"
"Chhantyal/Chhantel",""
"Female","7"
"Male","6"
"","13"
"Chhetri",""
"Female","22320"
"Male","22882"
"","45202"
"Dalit Others",""
"Female","368"
"Male","425"
"","793"
"Damai/Dholi",""
"Female","450"
"Male","468"
"","918"
"Danuwar",""
"Female","121"
"Male","156"
"","277"
"Darai",""
"Female","11"
"Male","13"
"","24"
"Dev",""
"Female","7"
"Male","12"
"","19"
"Dhanuk",""
"Female","115"
"Male","259"
"","374"
"Dhimal",""
"Female","29"
"Male","28"
"","57"
"Dhobi",""
"Female","95"
"Male","102"
"","197"
"Dura",""
"Female","37"
"Male","35"
"","72"
"Dusadh/ Pasawan/ Pasi",""
"Female","28"
"Male","61"
"","89"
"Foreigner",""
"Female","302"
"Male","316"
"","618"
"Gaine",""
"Female","10"
"Male","18"
"","28"
"Ghale",""
"Female","99"
"Male","82"
"","181"
"Gharti/Bhujel",""
"Female","237"
"Male","288"
"","525"
"Gurung",""
"Female","2606"
"Male","2399"
"","5005"
"Hajam/Thakur",""
"Female","193"
"Male","409"
"","602"
"Halwai",""
"Female","127"
"Male","202"
"","329"
"Janajati Others",""
"Female","7"
"Male","8"
"","15"
"Jhangad/ Dhagar",""
"Female","13"
"Male","15"
"","28"
"Jirel",""
"Female","36"
"Male","39"
"","75"
"Kahar",""
"Female","12"
"Male","20"
"","32"
"Kalwar",""
"Female","462"
"Male","883"
"","1345"
"Kamar",""
"Female","1"
"Male","14"
"","15"
"Kami",""
"Female","1307"
"Male","1617"
"","2924"
"Kanu",""
"Female","54"
"Male","172"
"","226"
"Kathabaniyan",""
"Female","187"
"Male","351"
"","538"
"Kayastha",""
"Female","324"
"Male","420"
"","744"
"Kewat",""
"Female","17"
"Male","40"
"","57"
"Khatwe",""
"Female","4"
"Male","57"
"","61"
"Koche",""
"Female","4"
"Male","7"
"","11"
"Koiri/Kushwaha",""
"Female","166"
"Male","444"
"","610"
"Kulung",""
"Female","9"
"Male","11"
"","20"
"Kumal",""
"Female","82"
"Male","128"
"","210"
"Kumhar",""
"Female","16"
"Male","59"
"","75"
"Kurmi",""
"Female","55"
"Male","179"
"","234"
"Lepcha",""
"Female","38"
"Male","33"
"","71"
"Lhomi",""
"Female","19"
"Male","18"
"","37"
"Limbu",""
"Female","1945"
"Male","1703"
"","3648"
"Lohar",""
"Female","143"
"Male","354"
"","497"
"Magar",""
"Female","7678"
"Male","7596"
"","15274"
"Majhi",""
"Female","415"
"Male","482"
"","897"
"Mali",""
"Female","7"
"Male","17"
"","24"
"Mallaha",""
"Female","18"
"Male","39"
"","57"
"Marwadi",""
"Female","369"
"Male","403"
"","772"
"Munda",""
"Female","20"
"Male","7"
"","27"
"Musahar",""
"Female","11"
"Male","33"
"","44"
