"Population by Mother tongue","Number"
"Avadhi",""
"Female","8"
"Male","10"
"Bahing",""
"Female","10"
"Male","12"
"Bajjika",""
"Female","4"
"Male","7"
"Bangla",""
"Female","6"
"Male","7"
"Bantawa",""
"Female","14"
"Male","16"
"Bhojpuri",""
"Female","138"
"Male","255"
"Bhujel",""
"Female","9"
"Male","3"
"Chamling",""
"Female","19"
"Male","16"
"Danuwar",""
"Female","3"
"Male","8"
"Darai",""
"Female","5"
"Male","7"
"Dhimal",""
"Female","6"
"Male","8"
"Doteli",""
"Female","34"
"Male","37"
"English",""
"Female","3"
"Male","11"
"Gurung",""
"Female","89"
"Male","64"
"Hindi",""
"Female","43"
"Male","108"
"Khaling",""
"Female","10"
"Male","7"
"Kulung",""
"Female","8"
"Male","8"
"Limbu",""
"Female","121"
"Male","133"
"Magar",""
"Female","418"
"Male","425"
"Maithili",""
"Female","439"
"Male","879"
"Majhi",""
"Female","7"
"Male","5"
"Nepali",""
"Female","18274"
"Male","18110"
"Newar",""
"Female","8586"
"Male","7930"
"Not Reported",""
"Female","35"
"Male","25"
"Others",""
"Female","54"
"Male","57"
"Rai",""
"Female","309"
"Male","283"
"Rajbanshi",""
"Female","9"
"Male","14"
"Sherpa",""
"Female","39"
"Male","29"
"Sunuwar",""
"Female","42"
"Male","57"
"Tamang",""
"Female","1997"
"Male","2053"
"Tharu",""
"Female","197"
"Male","298"
"Thulung",""
"Female","19"
"Male","16"
"Urdu",""
"Female","64"
"Male","76"
"Wambule",""
"Female","69"
"Male","82"
"Yamphu/Yamphe",""
"Female","13"
"Male","15"
