"Population by Five Years Age Group","Number"
"0-4",""
"Female","2153"
"Male","2279"
"10-14",""
"Female","3030"
"Male","3062"
"15-19",""
"Female","2376"
"Male","1935"
"20-24",""
"Female","1810"
"Male","1272"
"25-29",""
"Female","1507"
"Male","1170"
"30-34",""
"Female","1229"
"Male","960"
"35-39",""
"Female","1165"
"Male","983"
"40-44",""
"Female","1004"
"Male","980"
"45-49",""
"Female","830"
"Male","849"
"50-54",""
"Female","675"
"Male","738"
"55-59",""
"Female","510"
"Male","542"
"5-9",""
"Female","2873"
"Male","3035"
"60-64",""
"Female","458"
"Male","466"
"65-69",""
"Female","329"
"Male","348"
"70-74",""
"Female","237"
"Male","221"
"75+",""
"Female","308"
"Male","308"
