"Population by disability type","Number"
"Blind/low vision",""
"Female","79"
"Male","72"
"","151"
"Deaf/hard of hearing",""
"Female","70"
"Male","99"
"","169"
"Deaf-Blind",""
"Female","12"
"Male","8"
"","20"
"Intellectual disable",""
"Female","16"
"Male","22"
"","38"
"Mental disable",""
"Female","28"
"Male","32"
"","60"
"Multiple disable",""
"Female","32"
"Male","47"
"","79"
"No disability",""
"Female","20063"
"Male","18603"
"","38666"
"Physical",""
"Female","134"
"Male","164"
"","298"
"Speech problem",""
"Female","57"
"Male","82"
"","139"
