"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","898"
"Male","810"
"Brahman - Tarai",""
"Female","6"
"Male","11"
"Chepang /Praja",""
"Female","370"
"Male","391"
"Chhetri",""
"Female","849"
"Male","774"
"Damai/Dholi",""
"Female","73"
"Male","84"
"Gharti/Bhujel",""
"Female","11"
"Male","13"
"Gurung",""
"Female","36"
"Male","27"
"Kami",""
"Female","371"
"Male","307"
"Kathabaniyan",""
"Female","5"
"Male","11"
"Koiri/Kushwaha",""
"Female","9"
"Male","18"
"Magar",""
"Female","1805"
"Male","1502"
"Musalman",""
"Female","9"
"Male","10"
"Newar",""
"Female","412"
"Male","369"
"Others",""
"Female","47"
"Male","53"
"Rai",""
"Female","62"
"Male","34"
"Sarki",""
"Female","23"
"Male","25"
"Sunuwar",""
"Female","36"
"Male","27"
"Tamang",""
"Female","7099"
"Male","6662"
"Teli",""
"Female","4"
"Male","11"
"Thakuri",""
"Female","18"
"Male","14"
"Tharu",""
"Female","13"
"Male","20"
"Yadav",""
"Female","5"
"Male","10"
