"Population by Mother tongue","Number"
"Bajjika",""
"Female","3"
"Male","16"
"Bangla",""
"Female","18"
"Male","30"
"Bantawa",""
"Female","5"
"Male","7"
"Bhojpuri",""
"Female","1294"
"Male","2107"
"Bhujel",""
"Female","54"
"Male","56"
"Chepang",""
"Female","293"
"Male","301"
"Danuwar",""
"Female","19"
"Male","21"
"Doteli",""
"Female","15"
"Male","8"
"Gurung",""
"Female","235"
"Male","210"
"Hindi",""
"Female","178"
"Male","263"
"Lapcha",""
"Female","39"
"Male","49"
"Limbu",""
"Female","14"
"Male","12"
"Magar",""
"Female","798"
"Male","773"
"Maithili",""
"Female","912"
"Male","1276"
"Nepali",""
"Female","48714"
"Male","45853"
"Newar",""
"Female","3688"
"Male","3626"
"Not Reported",""
"Female","28"
"Male","24"
"Others",""
"Female","159"
"Male","174"
"Rai",""
"Female","110"
"Male","115"
"Rajsthani",""
"Female","99"
"Male","106"
"Sign Language",""
"Female","16"
"Male","20"
"Sunuwar",""
"Female","20"
"Male","18"
"Tamang",""
"Female","20924"
"Male","19440"
"Thami",""
"Female","10"
"Male","9"
"Tharu",""
"Female","138"
"Male","235"
"Urdu",""
"Female","128"
"Male","215"
