"Population by Single Year of Age","Number"
"0",""
"Female","116"
"Male","119"
"1",""
"Female","101"
"Male","80"
"10",""
"Female","177"
"Male","174"
"11",""
"Female","158"
"Male","160"
"12",""
"Female","200"
"Male","214"
"13",""
"Female","195"
"Male","190"
"14",""
"Female","182"
"Male","174"
"15",""
"Female","206"
"Male","164"
"16",""
"Female","182"
"Male","146"
"17",""
"Female","196"
"Male","139"
"18",""
"Female","205"
"Male","190"
"19",""
"Female","123"
"Male","119"
"2",""
"Female","122"
"Male","101"
"20",""
"Female","164"
"Male","133"
"21",""
"Female","120"
"Male","80"
"22",""
"Female","151"
"Male","112"
"23",""
"Female","130"
"Male","103"
"24",""
"Female","122"
"Male","118"
"25",""
"Female","143"
"Male","106"
"26",""
"Female","109"
"Male","87"
"27",""
"Female","85"
"Male","116"
"28",""
"Female","104"
"Male","100"
"29",""
"Female","71"
"Male","62"
"3",""
"Female","114"
"Male","111"
"30",""
"Female","148"
"Male","143"
"31",""
"Female","58"
"Male","55"
"32",""
"Female","106"
"Male","99"
"33",""
"Female","54"
"Male","50"
"34",""
"Female","61"
"Male","44"
"35",""
"Female","147"
"Male","109"
"36",""
"Female","82"
"Male","66"
"37",""
"Female","61"
"Male","51"
"38",""
"Female","97"
"Male","57"
"39",""
"Female","36"
"Male","53"
"4",""
"Female","126"
"Male","149"
"40",""
"Female","175"
"Male","151"
"41",""
"Female","50"
"Male","41"
"42",""
"Female","92"
"Male","73"
"43",""
"Female","77"
"Male","40"
"44",""
"Female","42"
"Male","54"
"45",""
"Female","120"
"Male","93"
"46",""
"Female","82"
"Male","52"
"47",""
"Female","63"
"Male","59"
"48",""
"Female","75"
"Male","84"
"49",""
"Female","43"
"Male","49"
"5",""
"Female","135"
"Male","132"
"50",""
"Female","157"
"Male","117"
"51",""
"Female","56"
"Male","34"
"52",""
"Female","66"
"Male","74"
"53",""
"Female","39"
"Male","49"
"54",""
"Female","46"
"Male","44"
"55",""
"Female","73"
"Male","85"
"56",""
"Female","47"
"Male","47"
"57",""
"Female","40"
"Male","50"
"58",""
"Female","42"
"Male","51"
"59",""
"Female","33"
"Male","33"
"6",""
"Female","124"
"Male","144"
"60",""
"Female","80"
"Male","85"
"61",""
"Female","35"
"Male","34"
"62",""
"Female","43"
"Male","33"
"63",""
"Female","21"
"Male","24"
"64",""
"Female","33"
"Male","20"
"65",""
"Female","66"
"Male","43"
"66",""
"Female","30"
"Male","32"
"67",""
"Female","26"
"Male","22"
"68",""
"Female","36"
"Male","31"
"69",""
"Female","9"
"Male","19"
"7",""
"Female","173"
"Male","145"
"70",""
"Female","62"
"Male","50"
"71",""
"Female","15"
"Male","20"
"72",""
"Female","31"
"Male","30"
"73",""
"Female","15"
"Male","29"
"74",""
"Female","20"
"Male","9"
"75",""
"Female","26"
"Male","36"
"76",""
"Female","16"
"Male","15"
"77",""
"Female","11"
"Male","10"
"78",""
"Female","22"
"Male","27"
"79",""
"Female","1"
"Male","9"
"8",""
"Female","181"
"Male","124"
"80",""
"Female","22"
"Male","19"
"81",""
"Female","7"
"Male","10"
"82",""
"Female","7"
"Male","8"
"83",""
"Female","2"
"Male","3"
"84",""
"Female","5"
"Male","5"
"85",""
"Female","17"
"Male","21"
"9",""
"Female","159"
"Male","148"
