"Population by Five Years Age Group","Number"
"0-4",""
"Female","1781"
"Male","1951"
"10-14",""
"Female","2727"
"Male","2670"
"15-19",""
"Female","2437"
"Male","2163"
"20-24",""
"Female","1994"
"Male","1677"
"25-29",""
"Female","1546"
"Male","1447"
"30-34",""
"Female","1221"
"Male","1204"
"35-39",""
"Female","1163"
"Male","1016"
"40-44",""
"Female","1017"
"Male","1011"
"45-49",""
"Female","810"
"Male","825"
"50-54",""
"Female","727"
"Male","784"
"55-59",""
"Female","539"
"Male","549"
"5-9",""
"Female","2428"
"Male","2370"
"60-64",""
"Female","484"
"Male","522"
"65-69",""
"Female","315"
"Male","359"
"70-74",""
"Female","305"
"Male","288"
"75+",""
"Female","385"
"Male","407"
