"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","59"
"Male","107"
"Gurung",""
"Female","29"
"Male","21"
"Lapcha",""
"Female","344"
"Male","202"
"Magar",""
"Female","60"
"Male","44"
"Maithili",""
"Female","12"
"Male","43"
"Nepali",""
"Female","7539"
"Male","6662"
"Newar",""
"Female","4022"
"Male","3537"
"Not Reported",""
"Female","15"
"Male","21"
"Others",""
"Female","18"
"Male","24"
"Rai",""
"Female","7"
"Male","4"
"Sign Language",""
"Female","8"
"Male","4"
"Tamang",""
"Female","9686"
"Male","9117"
"Tharu",""
"Female","9"
"Male","17"
"Urdu",""
"Female","4"
"Male","8"
