"Population by Single Year of Age","Number"
"0",""
"Female","3689"
"Male","3914"
"1",""
"Female","3295"
"Male","3472"
"10",""
"Female","5585"
"Male","5980"
"11",""
"Female","5077"
"Male","5154"
"12",""
"Female","5923"
"Male","6372"
"13",""
"Female","5615"
"Male","5611"
"14",""
"Female","5808"
"Male","5505"
"15",""
"Female","5421"
"Male","5045"
"16",""
"Female","5345"
"Male","4810"
"17",""
"Female","4953"
"Male","4407"
"18",""
"Female","5681"
"Male","5242"
"19",""
"Female","3921"
"Male","3459"
"2",""
"Female","3687"
"Male","3826"
"20",""
"Female","4953"
"Male","4082"
"21",""
"Female","3750"
"Male","3073"
"22",""
"Female","4810"
"Male","4046"
"23",""
"Female","3693"
"Male","3050"
"24",""
"Female","4027"
"Male","3397"
"25",""
"Female","4536"
"Male","3842"
"26",""
"Female","3551"
"Male","3146"
"27",""
"Female","3289"
"Male","3034"
"28",""
"Female","3866"
"Male","3582"
"29",""
"Female","2168"
"Male","2159"
"3",""
"Female","3840"
"Male","3846"
"30",""
"Female","4923"
"Male","4060"
"31",""
"Female","1933"
"Male","1901"
"32",""
"Female","3084"
"Male","2935"
"33",""
"Female","2083"
"Male","1893"
"34",""
"Female","2017"
"Male","1868"
"35",""
"Female","4350"
"Male","3910"
"36",""
"Female","2507"
"Male","2274"
"37",""
"Female","1954"
"Male","1781"
"38",""
"Female","2584"
"Male","2366"
"39",""
"Female","1588"
"Male","1490"
"4",""
"Female","4233"
"Male","4407"
"40",""
"Female","4714"
"Male","4335"
"41",""
"Female","1572"
"Male","1498"
"42",""
"Female","2265"
"Male","2276"
"43",""
"Female","1626"
"Male","1496"
"44",""
"Female","1473"
"Male","1488"
"45",""
"Female","3367"
"Male","3252"
"46",""
"Female","1636"
"Male","1627"
"47",""
"Female","1335"
"Male","1382"
"48",""
"Female","1964"
"Male","2071"
"49",""
"Female","1248"
"Male","1302"
"5",""
"Female","4710"
"Male","4853"
"50",""
"Female","3365"
"Male","3468"
"51",""
"Female","1189"
"Male","1294"
"52",""
"Female","1509"
"Male","1849"
"53",""
"Female","1071"
"Male","1189"
"54",""
"Female","1026"
"Male","1084"
"55",""
"Female","1875"
"Male","2077"
"56",""
"Female","1106"
"Male","1200"
"57",""
"Female","976"
"Male","1193"
"58",""
"Female","1090"
"Male","1202"
"59",""
"Female","818"
"Male","828"
"6",""
"Female","4653"
"Male","4863"
"60",""
"Female","2320"
"Male","2257"
"61",""
"Female","709"
"Male","878"
"62",""
"Female","896"
"Male","958"
"63",""
"Female","600"
"Male","624"
"64",""
"Female","592"
"Male","603"
"65",""
"Female","1503"
"Male","1334"
"66",""
"Female","608"
"Male","682"
"67",""
"Female","721"
"Male","756"
"68",""
"Female","796"
"Male","931"
"69",""
"Female","379"
"Male","442"
"7",""
"Female","5153"
"Male","5113"
"70",""
"Female","1449"
"Male","1227"
"71",""
"Female","364"
"Male","385"
"72",""
"Female","578"
"Male","570"
"73",""
"Female","399"
"Male","397"
"74",""
"Female","290"
"Male","314"
"75",""
"Female","768"
"Male","655"
"76",""
"Female","308"
"Male","309"
"77",""
"Female","305"
"Male","351"
"78",""
"Female","518"
"Male","556"
"79",""
"Female","194"
"Male","221"
"8",""
"Female","4985"
"Male","5315"
"80",""
"Female","545"
"Male","446"
"81",""
"Female","152"
"Male","176"
"82",""
"Female","163"
"Male","186"
"83",""
"Female","136"
"Male","166"
"84",""
"Female","190"
"Male","200"
"85",""
"Female","926"
"Male","833"
"9",""
"Female","4919"
"Male","5033"
