"Population by Caste Ethinicity","Number"
"Badi",""
"Female","21"
"Male","26"
"","47"
"Brahman - Hill",""
"Female","8497"
"Male","7989"
"","16486"
"Chhetri",""
"Female","1818"
"Male","1676"
"","3494"
"Dalit Others",""
"Female","15"
"Male","11"
"","26"
"Damai/Dholi",""
"Female","559"
"Male","498"
"","1057"
"Ghale",""
"Female","15"
"Male","22"
"","37"
"Gharti/Bhujel",""
"Female","180"
"Male","167"
"","347"
"Gurung",""
"Female","62"
"Male","62"
"","124"
"Kami",""
"Female","609"
"Male","516"
"","1125"
"Magar",""
"Female","478"
"Male","446"
"","924"
"Musalman",""
"Female","9"
"Male","10"
"","19"
"Newar",""
"Female","1119"
"Male","1003"
"","2122"
"Others",""
"Female","26"
"Male","31"
"","57"
"Rai",""
"Female","982"
"Male","847"
"","1829"
"Sanyasi/Dasnami",""
"Female","73"
"Male","85"
"","158"
"Sarki",""
"Female","405"
"Male","384"
"","789"
"Sunuwar",""
"Female","24"
"Male","22"
"","46"
"Tamang",""
"Female","6178"
"Male","5781"
"","11959"
"Tharu",""
"Female","5"
"Male","10"
"","15"
"Undefined Others",""
"Female","21"
"Male","16"
"","37"
