"Population by Five Years Age Group","Number"
"0-4",""
"Female","604"
"Male","593"
"10-14",""
"Female","1093"
"Male","980"
"15-19",""
"Female","948"
"Male","771"
"20-24",""
"Female","652"
"Male","466"
"25-29",""
"Female","574"
"Male","378"
"30-34",""
"Female","440"
"Male","339"
"35-39",""
"Female","473"
"Male","328"
"40-44",""
"Female","420"
"Male","339"
"45-49",""
"Female","377"
"Male","361"
"50-54",""
"Female","356"
"Male","369"
"55-59",""
"Female","263"
"Male","279"
"5-9",""
"Female","829"
"Male","823"
"60-64",""
"Female","266"
"Male","276"
"65-69",""
"Female","204"
"Male","209"
"70-74",""
"Female","182"
"Male","196"
"75+",""
"Female","238"
"Male","235"
