"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1144"
"Male","1063"
"","2207"
"Chhetri",""
"Female","175"
"Male","180"
"","355"
"Damai/Dholi",""
"Female","59"
"Male","49"
"","108"
"Ghale",""
"Female","238"
"Male","212"
"","450"
"Gurung",""
"Female","238"
"Male","193"
"","431"
"Kami",""
"Female","333"
"Male","296"
"","629"
"Newar",""
"Female","14"
"Male","16"
"","30"
"Others",""
"Female","27"
"Male","24"
"","51"
"Sarki",""
"Female","7"
"Male","8"
"","15"
"Tamang",""
"Female","5684"
"Male","4901"
"","10585"
