"Population by disability type","Number"
"Blind/low vision",""
"Female","26"
"Male","22"
"","48"
"Deaf/hard of hearing",""
"Female","13"
"Male","21"
"","34"
"Deaf-Blind",""
"Female","2"
"Male","2"
"","4"
"Intellectual disable",""
"Female","3"
"Male","3"
"","6"
"Mental disable",""
"Female","5"
"Male","8"
"","13"
"Multiple disable",""
"Female","6"
"Male","4"
"","10"
"No disability",""
"Female","8125"
"Male","7603"
"","15728"
"Physical",""
"Female","31"
"Male","39"
"","70"
"Speech problem",""
"Female","23"
"Male","9"
"","32"
