"Population by Educational Attainment","Number"
"Beginners",""
"Female","246"
"Male","240"
"","486"
"Graduate and Equivalent",""
"Female","28"
"Male","95"
"","123"
"Intermediate and Equivalent",""
"Female","171"
"Male","191"
"","362"
"Level not Stated",""
"Female","31"
"Male","59"
"","90"
"Lower Secondary (Class 6-8)",""
"Female","1181"
"Male","1222"
"","2403"
"Non Formal Education",""
"Female","475"
"Male","585"
"","1060"
"Others",""
"Female","2"
"Male","4"
"","6"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","19"
"","24"
"Primary Education (1-5 Class)",""
"Female","2346"
"Male","2559"
"","4905"
"Secondary Level (Class 9-10)",""
"Female","691"
"Male","710"
"","1401"
"SLC and Equivalent",""
"Female","318"
"Male","377"
"","695"
