"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","433"
"Male","348"
"Chhetri",""
"Female","4578"
"Male","3977"
"Dalit Others",""
"Female","5"
"Male","6"
"Damai/Dholi",""
"Female","197"
"Male","173"
"Gharti/Bhujel",""
"Female","402"
"Male","361"
"Gurung",""
"Female","86"
"Male","82"
"Hyolmo",""
"Female","270"
"Male","220"
"Kami",""
"Female","276"
"Male","253"
"Magar",""
"Female","148"
"Male","140"
"Newar",""
"Female","362"
"Male","300"
"Others",""
"Female","31"
"Male","28"
"Rai",""
"Female","11"
"Male","9"
"Sanyasi/Dasnami",""
"Female","16"
"Male","16"
"Sarki",""
"Female","397"
"Male","285"
"Sherpa",""
"Female","890"
"Male","733"
"Sunuwar",""
"Female","1146"
"Male","1005"
"Tamang",""
"Female","1520"
"Male","1341"
"Yadav",""
"Female","6"
"Male","7"
