"Population by Five Years Age Group","Number"
"0-4",""
"Female","1214"
"Male","1258"
"10-14",""
"Female","2151"
"Male","2058"
"15-19",""
"Female","1990"
"Male","1554"
"20-24",""
"Female","1273"
"Male","933"
"25-29",""
"Female","1040"
"Male","849"
"30-34",""
"Female","818"
"Male","662"
"35-39",""
"Female","871"
"Male","644"
"40-44",""
"Female","860"
"Male","665"
"45-49",""
"Female","693"
"Male","574"
"50-54",""
"Female","679"
"Male","660"
"55-59",""
"Female","526"
"Male","537"
"5-9",""
"Female","1670"
"Male","1639"
"60-64",""
"Female","590"
"Male","511"
"65-69",""
"Female","441"
"Male","387"
"70-74",""
"Female","392"
"Male","319"
"75+",""
"Female","533"
"Male","478"
