"Population by Caste Ethinicity","Number"
"Badi",""
"Female","21"
"Male","12"
"","33"
"Brahman - Hill",""
"Female","413"
"Male","388"
"","801"
"Chhetri",""
"Female","2933"
"Male","2292"
"","5225"
"Dalit Others",""
"Female","50"
"Male","45"
"","95"
"Damai/Dholi",""
"Female","298"
"Male","250"
"","548"
"Gharti/Bhujel",""
"Female","191"
"Male","171"
"","362"
"Hajam/Thakur",""
"Female","10"
"Male","3"
"","13"
"Hayu",""
"Female","393"
"Male","361"
"","754"
"Kami",""
"Female","513"
"Male","440"
"","953"
"Magar",""
"Female","3599"
"Male","2672"
"","6271"
"Majhi",""
"Female","273"
"Male","232"
"","505"
"Newar",""
"Female","3614"
"Male","3147"
"","6761"
"Others",""
"Female","32"
"Male","34"
"","66"
"Pahari",""
"Female","7"
"Male","10"
"","17"
"Sanyasi/Dasnami",""
"Female","71"
"Male","72"
"","143"
"Sarki",""
"Female","345"
"Male","300"
"","645"
"Sudhi",""
"Female","6"
"Male","6"
"","12"
"Sunuwar",""
"Female","518"
"Male","522"
"","1040"
"Tamang",""
"Female","2435"
"Male","1903"
"","4338"
"Teli",""
"Female","4"
"Male","8"
"","12"
"Terai Others",""
"Female","7"
"Male","11"
"","18"
