"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","6"
"Male","7"
"Brahman - Hill",""
"Female","929"
"Male","780"
"Chhetri",""
"Female","2017"
"Male","1620"
"Dalit Others",""
"Female","32"
"Male","37"
"Damai/Dholi",""
"Female","190"
"Male","185"
"Gharti/Bhujel",""
"Female","68"
"Male","58"
"Hyolmo",""
"Female","11"
"Male","6"
"Kami",""
"Female","238"
"Male","212"
"Magar",""
"Female","898"
"Male","761"
"Majhi",""
"Female","182"
"Male","176"
"Newar",""
"Female","1633"
"Male","1497"
"Others",""
"Female","18"
"Male","23"
"Pahari",""
"Female","24"
"Male","15"
"Sarki",""
"Female","86"
"Male","101"
"Tamang",""
"Female","3448"
"Male","2870"
